1974,4569
1960,74
1934,27
1947,1
1920,14
1921,3
1962,382
1926,638
1931,1
1929,1
1963,289
1902,4
1986,6584
1987,8664
1984,7724
1985,9366
1982,3876
1983,2813
1980,4356
1981,4406
1964,1872
1965,793
1966,963
1967,2102
1946,1
1961,309
1988,7531
1989,6672
1905,9
1949,134
1959,210
1948,4
1955,13
1954,9
1957,44
1956,256
1951,435
1950,29
1953,8
1952,13
1968,353
1939,5
1944,1
1915,678
1958,63
1994,18777
1991,5607
1990,13797
1993,12260
1992,9165
1995,7836
1979,2176
1997,7379
1996,8669
1977,1496
1976,5871
1975,11446
1978,2418
1973,581
1972,1143
1971,686
1970,2472
2002,344
1999,821
2000,1369
2001,359
1998,2368
1969,4084}
